Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),148.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),137.1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),146
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),116.4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),126.8
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),141
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),145.7
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),139.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),144.4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),101.6
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),119.9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),136.8
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),147
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),138.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),145.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),108.9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),123.4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),138.9
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),82.8
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),36
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),73.8
