state,year,gender,gender_key,class_group,class_group_key,ger_ratio
Karnataka,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,97.1
Karnataka,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,37.2
Karnataka,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,55.7
Karnataka,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,88.3
Karnataka,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,104.9
Karnataka,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,72.8
Karnataka,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,98.5
Karnataka,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,38.1
Karnataka,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,56.2
Karnataka,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,89.2
Kerala,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,140.7
Kerala,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,91.9
Kerala,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,130.8
Kerala,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,24.7
Kerala,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,59.5
Kerala,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,114.0
Kerala,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,135.4
Kerala,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,98.3
Kerala,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,127.9
Kerala,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,25.8
Kerala,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,62.3
Kerala,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,111.0
Kerala,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,138.1
Kerala,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,95.0
Kerala,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,129.4
Kerala,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,25.3
Kerala,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,60.9
Kerala,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,112.5
Lakshadweep,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,78.5
Lakshadweep,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,70.2
Lakshadweep,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,76.8
Lakshadweep,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,76.3
Lakshadweep,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,72.9
Lakshadweep,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,76.7
Lakshadweep,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,85.8
Lakshadweep,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,74.6
Lakshadweep,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,83.5
Lakshadweep,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,84.4
Lakshadweep,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,79.1
Lakshadweep,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,83.7
Lakshadweep,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,82.0
Lakshadweep,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,72.4
Lakshadweep,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,80.1
Lakshadweep,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,80.3
Lakshadweep,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,76.0
Lakshadweep,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,80.1
Madhya Pradesh,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,132.4
Madhya Pradesh,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,60.0
Madhya Pradesh,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,119.4
Madhya Pradesh,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,35.6
Madhya Pradesh,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,48.5
Madhya Pradesh,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,108.0
Madhya Pradesh,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,137.3
Madhya Pradesh,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,36.6
Madhya Pradesh,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,119.1
