state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Meghalaya,2013,Male,male,Proportion Unemployed (PU),pu,4.0
Meghalaya,2013,Male,male,Worker population ratio (WPR),wpr,568.0
Mizoram,2013,Male,male,Labour force participation rate (LFPR),lfpr,575.0
Mizoram,2013,Male,male,Proportion Unemployed (PU),pu,10.0
Mizoram,2013,Male,male,Worker population ratio (WPR),wpr,565.0
Nagaland,2013,Male,male,Labour force participation rate (LFPR),lfpr,532.0
Nagaland,2013,Male,male,Proportion Unemployed (PU),pu,51.0
Nagaland,2013,Male,male,Worker population ratio (WPR),wpr,481.0
Odisha,2013,Male,male,Labour force participation rate (LFPR),lfpr,632.0
Odisha,2013,Male,male,Proportion Unemployed (PU),pu,15.0
Odisha,2013,Male,male,Worker population ratio (WPR),wpr,617.0
Puducherry,2013,Male,male,Labour force participation rate (LFPR),lfpr,
Puducherry,2013,Male,male,Proportion Unemployed (PU),pu,
Puducherry,2013,Male,male,Worker population ratio (WPR),wpr,
Punjab,2013,Male,male,Labour force participation rate (LFPR),lfpr,393.0
Punjab,2013,Male,male,Proportion Unemployed (PU),pu,14.0
Punjab,2013,Male,male,Worker population ratio (WPR),wpr,378.0
Rajasthan,2013,Male,male,Labour force participation rate (LFPR),lfpr,509.0
Rajasthan,2013,Male,male,Proportion Unemployed (PU),pu,4.0
Rajasthan,2013,Male,male,Worker population ratio (WPR),wpr,505.0
Sikkim,2013,Male,male,Labour force participation rate (LFPR),lfpr,579.0
Sikkim,2013,Male,male,Proportion Unemployed (PU),pu,35.0
Sikkim,2013,Male,male,Worker population ratio (WPR),wpr,544.0
Tamil Nadu,2013,Male,male,Labour force participation rate (LFPR),lfpr,676.0
Tamil Nadu,2013,Male,male,Proportion Unemployed (PU),pu,4.0
Tamil Nadu,2013,Male,male,Worker population ratio (WPR),wpr,672.0
Tripura,2013,Male,male,Labour force participation rate (LFPR),lfpr,582.0
Tripura,2013,Male,male,Proportion Unemployed (PU),pu,37.0
Tripura,2013,Male,male,Worker population ratio (WPR),wpr,545.0
